esp,text
Las últimas palabras de los Darkin no son propias sino los gritos de la humanidad ,"The Darkin's final words are not their own, but the cries of humanity."
Todas las cosas terminan ,All things end!
La mortalidad solo puede ser cortada por el filo de la lanza ,Mortality can only be severed by the spear's edge.
Las estrellas mienten ,The stars lie!
Regresa a casa en tu escudo ,Return home on your shield.
Busqué poder en la cima de Targon solo para encontrarlo dentro ,"I sought power on Targon's peak, only to find it within."
Los mejores escaladores saben caer ,The best climbers know how to fall.
Retírate demasiado en el Monte Targón y caerás por un precipicio ,"Retreat too far on Mount Targon, and you will fall off a cliff."
El dios murió El hombre vive ,The god died. The man lives.
No me rendiré ,I will not surrender.
El más allá puede tenerme cuando haya terminado ,The beyond can have me when I am done.
Me caeré al menos una vez más ,I will fall at least one more time.
Ponte de pie y nunca seas derrotado ,Stand back up and never be defeated.
Ellos no disfrutarán esto ,They will not enjoy this.
Ser pateado en un pozo es la menor de tus preocupaciones ,Getting kicked into a well is the least of your worries!
Mi profesión Sabes ahora que lo pienso siempre quise ser panadero ,"My profession?! You know, now that I think of it, I've always wanted to be a baker."
